;Light;Temperature;Humidity;Soil_humidity;Plant Type;Time;Waterneed
249;577.0;15.7;46.0;66.0;Sanseveria;Wed Apr 10 10:10:47 2024;4.3
250;579.0;15.7;46.0;66.0;Sanseveria;Wed Apr 10 10:10:48 2024;4.3
251;550.0;15.7;46.0;64.0;Sanseveria;Wed Apr 10 10:10:49 2024;4
252;536.0;15.7;46.0;68.0;Sanseveria;Wed Apr 10 10:10:49 2024;4
253;552.0;15.7;46.0;70.0;Sanseveria;Wed Apr 10 10:10:50 2024;4
254;554.0;16.1;45.0;70.0;Sanseveria;Wed Apr 10 10:10:50 2024;4
255;584.0;16.1;46.0;69.0;Sanseveria;Wed Apr 10 10:10:51 2024;4
256;589.0;16.1;46.0;71.0;Sanseveria;Wed Apr 10 10:10:51 2024;4
257;589.0;16.1;46.0;72.0;Sanseveria;Wed Apr 10 10:10:52 2024;4
258;590.0;16.1;47.0;71.0;Sanseveria;Wed Apr 10 10:10:53 2024;4
259;590.0;16.6;47.0;71.0;Sanseveria;Wed Apr 10 10:10:53 2024;4
260;590.0;16.6;47.0;72.0;Sanseveria;Wed Apr 10 10:10:54 2024;4
261;589.0;16.6;47.0;72.0;Sanseveria;Wed Apr 10 10:10:55 2024;4
262;589.0;16.6;48.0;72.0;Sanseveria;Wed Apr 10 10:10:55 2024;4
263;589.0;16.6;48.0;73.0;Sanseveria;Wed Apr 10 10:10:56 2024;4
264;589.0;17.0;48.0;73.0;Sanseveria;Wed Apr 10 10:10:58 2024;4
265;588.0;17.0;48.0;73.0;Sanseveria;Wed Apr 10 10:10:58 2024;4
266;588.0;17.0;49.0;73.0;Sanseveria;Wed Apr 10 10:11:00 2024;4
267;588.0;17.4;49.0;73.0;Sanseveria;Wed Apr 10 10:11:02 2024;4
268;587.0;17.4;49.0;73.0;Sanseveria;Wed Apr 10 10:11:02 2024;4
269;587.0;17.4;50.0;73.0;Sanseveria;Wed Apr 10 10:11:04 2024;4
270;580.0;17.8;50.0;73.0;Sanseveria;Wed Apr 10 10:11:05 2024;4
271;584.0;17.8;50.0;73.0;Sanseveria;Wed Apr 10 10:11:06 2024;4
272;585.0;17.8;50.0;73.0;Sanseveria;Wed Apr 10 10:11:07 2024;4
273;586.0;17.8;50.0;73.0;Sanseveria;Wed Apr 10 10:11:07 2024;4
274;587.0;18.2;50.0;73.0;Sanseveria;Wed Apr 10 10:11:08 2024;4
275;588.0;18.2;51.0;73.0;Sanseveria;Wed Apr 10 10:11:11 2024;4
276;589.0;18.2;51.0;73.0;Sanseveria;Wed Apr 10 10:11:11 2024;4
277;589.0;18.6;52.0;73.0;Sanseveria;Wed Apr 10 10:11:12 2024;4
278;590.0;18.6;52.0;73.0;Sanseveria;Wed Apr 10 10:11:14 2024;4
279;591.0;18.6;52.0;73.0;Sanseveria;Wed Apr 10 10:11:14 2024;4
280;591.0;18.6;53.0;73.0;Sanseveria;Wed Apr 10 10:11:15 2024;4
281;591.0;18.7;53.0;73.0;Sanseveria;Wed Apr 10 10:11:15 2024;4
282;591.0;19.0;53.0;73.0;Sanseveria;Wed Apr 10 10:11:16 2024;4
283;592.0;19.0;53.0;73.0;Sanseveria;Wed Apr 10 10:11:19 2024;4
284;593.0;19.3;53.0;73.0;Sanseveria;Wed Apr 10 10:11:19 2024;4
285;593.0;19.4;54.0;73.0;Sanseveria;Wed Apr 10 10:11:20 2024;4
286;594.0;19.4;54.0;73.0;Sanseveria;Wed Apr 10 10:11:22 2024;4
287;595.0;19.4;54.0;73.0;Sanseveria;Wed Apr 10 10:11:23 2024;4
288;596.0;19.4;54.0;73.0;Sanseveria;Wed Apr 10 10:11:23 2024;4
289;596.0;19.6;54.0;73.0;Sanseveria;Wed Apr 10 10:11:24 2024;4
290;597.0;19.8;54.0;73.0;Sanseveria;Wed Apr 10 10:11:24 2024;4
291;598.0;19.8;54.0;73.0;Sanseveria;Wed Apr 10 10:11:25 2024;4
292;599.0;19.8;54.0;73.0;Sanseveria;Wed Apr 10 10:11:25 2024;4
293;600.0;19.8;54.0;73.0;Sanseveria;Wed Apr 10 10:11:26 2024;4
294;601.0;19.8;54.0;73.0;Sanseveria;Wed Apr 10 10:11:26 2024;4
295;602.0;19.8;55.0;73.0;Sanseveria;Wed Apr 10 10:11:27 2024;4
296;603.0;19.8;55.0;73.0;Sanseveria;Wed Apr 10 10:11:27 2024;4
297;605.0;19.8;55.0;73.0;Sanseveria;Wed Apr 10 10:11:28 2024;4
298;608.0;20.2;55.0;73.0;Sanseveria;Wed Apr 10 10:11:28 2024;4
