Light,Temperature,Humidity,Soil_humidity,Plant Type,Time
571.0,19.8,42.0,93.0,Sanseveria,Wed Apr 10 10:09:15 2024
571.0,19.8,42.0,93.0,Sanseveria,Wed Apr 10 10:09:15 2024
570.0,19.8,42.0,93.0,Sanseveria,Wed Apr 10 10:09:16 2024
571.0,19.8,41.0,93.0,Sanseveria,Wed Apr 10 10:09:16 2024
570.0,19.8,41.0,93.0,Sanseveria,Wed Apr 10 10:09:17 2024
570.0,19.8,41.0,93.0,Sanseveria,Wed Apr 10 10:09:17 2024
570.0,19.8,41.0,93.0,Sanseveria,Wed Apr 10 10:09:18 2024
570.0,19.8,41.0,93.0,Sanseveria,Wed Apr 10 10:09:18 2024
570.0,19.8,41.0,93.0,Sanseveria,Wed Apr 10 10:09:19 2024
569.0,19.8,41.0,93.0,Sanseveria,Wed Apr 10 10:09:19 2024
569.0,19.8,41.0,93.0,Sanseveria,Wed Apr 10 10:09:20 2024
568.0,19.8,41.0,93.0,Sanseveria,Wed Apr 10 10:09:20 2024
568.0,19.4,41.0,93.0,Sanseveria,Wed Apr 10 10:09:21 2024
567.0,19.4,41.0,93.0,Sanseveria,Wed Apr 10 10:09:21 2024
567.0,19.4,41.0,93.0,Sanseveria,Wed Apr 10 10:09:22 2024
568.0,19.4,41.0,93.0,Sanseveria,Wed Apr 10 10:09:22 2024
567.0,19.4,41.0,93.0,Sanseveria,Wed Apr 10 10:09:23 2024
566.0,19.4,41.0,93.0,Sanseveria,Wed Apr 10 10:09:24 2024
566.0,19.4,40.0,93.0,Sanseveria,Wed Apr 10 10:09:24 2024
567.0,19.4,40.0,93.0,Sanseveria,Wed Apr 10 10:09:25 2024
565.0,19.4,40.0,93.0,Sanseveria,Wed Apr 10 10:09:25 2024
565.0,19.4,40.0,93.0,Sanseveria,Wed Apr 10 10:09:26 2024
566.0,19.4,40.0,93.0,Sanseveria,Wed Apr 10 10:09:26 2024
564.0,19.4,40.0,93.0,Sanseveria,Wed Apr 10 10:09:27 2024
605.0,19.0,40.0,82.0,Sanseveria,Wed Apr 10 10:09:27 2024
568.0,19.0,40.0,81.0,Sanseveria,Wed Apr 10 10:09:28 2024
582.0,19.0,40.0,93.0,Sanseveria,Wed Apr 10 10:09:28 2024
585.0,19.0,40.0,89.0,Sanseveria,Wed Apr 10 10:09:29 2024
578.0,19.0,40.0,96.0,Sanseveria,Wed Apr 10 10:09:29 2024
578.0,19.0,40.0,96.0,Sanseveria,Wed Apr 10 10:09:30 2024
579.0,19.0,40.0,96.0,Sanseveria,Wed Apr 10 10:09:30 2024
584.0,19.0,40.0,92.0,Sanseveria,Wed Apr 10 10:09:31 2024
585.0,19.0,40.0,90.0,Sanseveria,Wed Apr 10 10:09:31 2024
589.0,19.0,40.0,86.0,Sanseveria,Wed Apr 10 10:09:32 2024
588.0,19.0,40.0,88.0,Sanseveria,Wed Apr 10 10:09:32 2024
588.0,19.0,40.0,88.0,Sanseveria,Wed Apr 10 10:09:33 2024
588.0,18.6,40.0,87.0,Sanseveria,Wed Apr 10 10:09:33 2024
594.0,18.6,40.0,82.0,Sanseveria,Wed Apr 10 10:09:34 2024
595.0,18.6,40.0,82.0,Sanseveria,Wed Apr 10 10:09:35 2024
